27-Sep-2017-04:22:23.343 | FAILED | admin | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
27-Sep-2017-08:35:46.772 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
27-Sep-2017-08:39:32.026 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
27-Sep-2017-08:41:01.002 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
27-Sep-2017-08:42:03.272 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
27-Sep-2017-08:45:26.657 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
27-Sep-2017-18:55:59.588 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
27-Sep-2017-18:58:02.107 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
27-Sep-2017-18:58:49.987 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
29-Sep-2017-13:24:13.869 | SUCCESS | admin |  | / | http | 94.228.83.60 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
29-Sep-2017-13:24:40.762 | SUCCESS | admin |  | / | http | 94.228.83.60 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
29-Sep-2017-13:24:49.482 | SUCCESS | admin |  | / | http | 94.228.83.60 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
29-Sep-2017-13:42:24.415 | SUCCESS | admin |  | / | http | 94.228.83.60 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
29-Sep-2017-15:50:29.689 | SUCCESS | admin |  | / | http | 84.245.121.145 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
29-Sep-2017-15:50:43.118 | SUCCESS | admin |  | / | http | 84.245.121.145 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
29-Sep-2017-15:50:51.821 | SUCCESS | admin |  | / | http | 84.245.121.145 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
29-Sep-2017-15:51:02.267 | SUCCESS | admin |  | / | http | 84.245.121.145 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
29-Sep-2017-15:51:09.767 | SUCCESS | admin |  | / | http | 84.245.121.145 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
30-Sep-2017-14:19:21.263 | SUCCESS | admin |  | / | http | 84.245.121.205 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
30-Sep-2017-18:45:38.837 | SUCCESS | admin |  | / | http | 84.245.121.205 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
23-Nov-2017-19:18:03.128 | FAILED | admin | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
23-Nov-2017-19:18:14.968 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:14:57.393 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:19:17.224 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:19:36.384 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:19:46.421 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:21:13.142 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:21:20.485 | FAILED | admin | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:21:28.756 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:21:41.118 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:21:55.511 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:28:28.117 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:28:34.204 | FAILED | beta_t1 | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:28:50.444 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:29:37.279 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:33:08.267 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:34:15.577 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:35:37.284 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:35:51.044 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:36:41.204 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:38:13.899 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:39:23.216 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-13:51:41.834 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-20:24:09.300 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-20:39:58.006 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-20:43:34.997 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-20:46:09.332 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-20:48:20.401 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-20:53:04.928 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-20:56:53.827 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-21:07:05.368 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-21:10:19.494 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-21:24:23.682 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
18-Dec-2017-21:35:39.099 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-04:30:58.504 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-04:48:08.699 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:05:05.917 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:07:42.804 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:14:35.824 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:16:55.821 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:18:05.384 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:19:03.488 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:19:09.056 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:19:43.239 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:19:56.307 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:22:38.273 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:22:50.439 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:22:55.862 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:24:36.992 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:25:04.265 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:28:22.050 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:31:58.644 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:36:57.180 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:41:46.655 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:42:58.916 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:45:24.314 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:45:38.823 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:48:21.045 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:48:34.091 | FAILED | beta_t1 | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:48:44.496 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:51:37.866 | FAILED | admin | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-05:51:49.220 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:01:32.205 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:05:59.201 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:07:21.372 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:07:33.355 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:11:54.062 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:14:16.474 | FAILED | admin | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:14:27.713 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:14:36.629 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:14:49.806 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:16:31.432 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:18:12.025 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:18:58.938 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:19:14.705 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:19:23.645 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:20:08.055 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:20:12.779 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:20:51.598 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:22:33.020 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:45:27.398 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:48:58.885 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:49:30.748 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:51:14.359 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:51:32.018 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:55:05.177 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:56:09.273 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-06:59:24.427 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:00:35.538 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:16:55.666 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:21:13.582 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:21:40.523 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:28:21.514 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:28:58.363 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:42:46.333 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:50:39.757 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:51:52.046 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:52:12.874 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:53:52.378 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:54:33.418 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-07:56:29.177 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:01:49.265 | FAILED | admin | Invalid Username or Password | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:02:09.142 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:12:59.200 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:16:36.363 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:17:46.890 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:18:17.673 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:24:44.606 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:24:58.364 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:25:10.679 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:26:09.413 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:26:16.934 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:27:04.855 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:28:47.638 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:31:21.789 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:32:07.859 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:41:11.421 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:45:49.467 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:46:05.849 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:49:49.279 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:52:03.072 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:52:22.889 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:54:25.971 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:54:52.115 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:55:15.590 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:57:17.582 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-08:59:20.445 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-09:00:18.576 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-09:44:26.510 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-11:09:09.570 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-11:09:22.405 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-11:10:14.424 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-11:16:27.015 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-11:16:55.285 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
19-Dec-2017-11:20:49.575 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-09:28:51.251 | SUCCESS | beta_t1 |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-09:29:25.346 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-09:29:39.292 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-09:41:29.720 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-09:42:53.733 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-10:26:22.402 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-10:32:44.388 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-10:59:21.667 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
21-Dec-2017-11:01:09.534 | SUCCESS | admin |  | / | http | 127.0.0.1 | org.webswing.server.services.security.modules.embeded.EmbededSecurityModule
